"Iteration";"Force 1 Monitor: Force 1 Monitor (N)"
1.0;4.118229916509239
2.0;38.690043041996404
3.0;60.00768616116452
4.0;71.53783427036993
5.0;72.18661450971128
6.0;66.81908796166752
7.0;63.275340264195464
8.0;60.6759829553022
9.0;58.99230533973312
10.0;58.27645560620547
11.0;58.1937080429708
12.0;58.10857337768553
13.0;57.89259605831138
14.0;57.52958423419305
15.0;57.063226185142504
16.0;56.60077669198182
17.0;56.29384795956175
18.0;56.03108014505622
19.0;55.76399078577385
20.0;55.46774805712833
21.0;55.12741421252224
22.0;54.751802434973655
23.0;54.34315608546226
24.0;53.89605918936627
25.0;53.41029779131486
26.0;52.872754517270025
27.0;52.26962519384408
28.0;51.58319431516298
29.0;50.77891066071594
30.0;49.80282566949297
31.0;48.5918091969067
32.0;47.10703334980411
33.0;45.35218697349837
34.0;43.351877877319325
35.0;41.14501122016447
36.0;38.78468764968673
37.0;36.34451120392339
38.0;33.87013070892339
39.0;31.383555786976896
40.0;28.91623787712617
41.0;26.50455081000498
42.0;24.179783876425102
43.0;21.965012515584643
44.0;19.862366323550976
45.0;17.871068465250286
46.0;15.99373712558171
47.0;14.269692766733066
48.0;12.74245561252522
49.0;11.457106530309417
50.0;10.452423216156882
51.0;9.7448574985557
52.0;9.291620935461003
53.0;8.909963165541274
54.0;8.376459458026318
55.0;7.673861279175444
56.0;6.88890718628878
57.0;6.1108627875335255
58.0;5.380455443154506
59.0;4.736483832910305
60.0;4.2177161284531035
61.0;3.8554775542169795
62.0;3.6683689640441886
63.0;3.6653874063843683
64.0;3.8448519772414373
65.0;4.18702543294131
66.0;4.648488596701837
67.0;5.161859268867119
68.0;5.657005159858426
69.0;6.06584629429784
70.0;6.337752057789868
71.0;6.453620056190663
72.0;6.422434968370158
73.0;6.293462839469474
74.0;6.139821845172975
75.0;6.0257394667953035
76.0;5.98920914604121
77.0;6.043711248030075
78.0;6.180036997090456
79.0;6.380917768179589
80.0;6.629603489320418
81.0;6.92182846376015
82.0;7.2452199827744534
83.0;7.576276527016205
84.0;7.888323406032773
85.0;8.164177359642565
86.0;8.38891050652373
87.0;8.537321173115455
88.0;8.590825479733082
89.0;8.537653662512934
90.0;8.379476828869452
91.0;8.137379022590805
92.0;7.8382612731441625
93.0;7.492158575409656
94.0;7.1196101510189385
95.0;6.7601378886115455
96.0;6.437013268749199
97.0;6.164549508863672
98.0;5.947693455907315
99.0;5.794021978337226
100.0;5.7133734428028005
101.0;5.704764929314116
102.0;5.762468555994245
103.0;5.874735849644724
104.0;6.017303999305898
105.0;6.146233495141133
106.0;6.22969745646833
107.0;6.256690898483493
108.0;6.233699168842692
109.0;6.178990063712245
110.0;6.108183870049096
111.0;6.033962484619497
112.0;5.959616276738079
113.0;5.886520252501135
114.0;5.817083208679061
115.0;5.753557303702796
116.0;5.693357789013734
117.0;5.637363557897796
118.0;5.585983546509453
119.0;5.531522773348113
120.0;5.46618826170437
121.0;5.386367050826254
122.0;5.296160007764165
123.0;5.195639405032256
124.0;5.084460075836726
125.0;4.964863692324922
126.0;4.841572376254132
127.0;4.720877786471187
128.0;4.610670515793214
129.0;4.517471878135448
130.0;4.444623437357533
131.0;4.392989049407536
132.0;4.364143800012432
133.0;4.3582306792758745
134.0;4.37568547587689
135.0;4.4189100979550044
136.0;4.4899588002157085
137.0;4.587894538576356
138.0;4.71249892313733
139.0;4.859574610616836
140.0;5.016790270716535
141.0;5.174710653516359
142.0;5.325791574536995
143.0;5.461121984078179
144.0;5.572953078385934
145.0;5.658295666332793
146.0;5.716964084603667
