"Iteration";"Force 1 Monitor: Force 1 Monitor (N)"
1.0;0.0
2.0;0.0
4.0;0.0
6.0;0.0
8.0;67.38629097653144
9.0;65.83346603502144
11.0;62.10122029492364
13.0;57.6548332816757
15.0;52.60248142779229
17.0;47.43296410317475
18.0;44.94503423501895
20.0;40.38045800125294
22.0;36.57413265956842
24.0;33.615882232185285
26.0;31.386636151584145
27.0;30.48976751765502
29.0;29.06210155162015
31.0;28.010016456299255
33.0;27.123137205379265
34.0;26.689373606633076
36.0;25.787269578237986
38.0;24.836121509188846
40.0;23.898680868240636
42.0;23.060201579058038
43.0;22.709644111320095
45.0;22.178357515262892
47.0;21.875257147361875
49.0;21.77645569290194
51.0;21.798370233301632
52.0;21.818995116021735
54.0;21.824381903881115
56.0;21.747800744762664
58.0;21.570368782040084
59.0;21.446800690867683
61.0;21.14935736141301
63.0;20.79694571195605
65.0;20.40971472825549
67.0;20.04684160422013
68.0;19.8958299348712
70.0;19.702834068440595
72.0;19.72325188323774
74.0;20.012121135644765
76.0;20.5361765488584
77.0;20.86506077234471
79.0;21.635847125846738
81.0;22.526582473547197
83.0;23.4869448835048
85.0;24.458578427093197
86.0;24.932644489224284
88.0;25.826935532966015
90.0;26.614545823893017
92.0;27.28884707381163
93.0;27.587780332665265
95.0;28.112981334147968
97.0;28.543710725201546
99.0;28.879358953040636
101.0;29.116848116771486
102.0;29.198066340956316
104.0;29.28046033108325
106.0;29.245362735470575
108.0;29.084644841545238
110.0;28.798496753477306
111.0;28.610098780157056
113.0;28.15462940189452
115.0;27.622604352793843
117.0;27.061800990734767
118.0;26.784947702023345
120.0;26.262311183029677
122.0;25.811268952404035
124.0;25.45435260265989
126.0;25.19665439425398
127.0;25.104138226299003
129.0;24.99343789537773
131.0;24.99114583123183
133.0;25.105134558172235
135.0;25.31926722692225
136.0;25.451507167265746
138.0;25.738402794468747
140.0;26.026651260117312
142.0;26.301471955634646
144.0;26.562309919549808
145.0;26.687522833937344
147.0;26.92368992289324
149.0;27.12605589934391
151.0;27.272414526259617
152.0;27.320643325911153
154.0;27.371294937472204
156.0;27.373061995584283
